id,title,titleJa,titleEn,image,mean,rank,num_list_users,num_scoring_users,num_episodes,start_date,end_date,media_type,status,rating,average_episode_duration,genres,studios
1,Cowboy Bebop???,カウボーイビバップ,Cowboy Bebop!!,https://cdn.myanimelist.net/images/anime/4/19644.webp,8.75,47,1957906,NaN,26,03-04-1998,24-04-1999,tv,finished_airing,r,1440,"Action, Adult Cast, Award Winning, Sci-Fi, Space",Sunrise
5,Cowboy Bebop: Tengoku no Tobira,カウボーイビバップ 天国の扉,Cowboy Bebop: The Movie,https://cdn.myanimelist.net/images/anime/1439/93480.webp,8.38,215,395149,223905,1,01-09-2001,01-09-2001,movie,finished_airing,r,6911,"Action, Adult Cast, Sci-Fi, Space",Bones
6,Trigun,トライガン???,Trigun,https://cdn.myanimelist.net/images/anime/1130/120002.webp,8.22,376,797512,386757,NaN,01-04-1998,30-09-1998,tv,finished_airing,pg_13,1480,"Action, Adult Cast, Adventure, Sci-Fi, Shounen",Madhouse
7,Witch Hunter Robin!!,Witch Hunter ROBIN (ウイッチハンターロビン)???,Witch Hunter Robin!!,https://cdn.myanimelist.net/images/anime/10/19969.jpg,7.24,3163,122319,45154,26,03-07-2002,25-12-2002,tv,finished_airing,pg_13,1500,"Action, Detective, Drama, Mystery, Supernatural",Sunrise
8,Bouken Ou Beet???,,Beet the Vandel Buster,https://cdn.myanimelist.net/images/anime/7/21569.webp,6.93,4693,16217,6945,52,30-09-2004,29-09-2005,tv,finished_airing,pg,1380,"Action, Adventure, Fantasy, Shounen",Toei Animation
15,Eyeshield 21,アイシールド21,,https://cdn.myanimelist.net/images/anime/1079/133529.webp,7.91,NaN,189837,NaN,145,06-04-2005,19-03-2008,tv,finished_airing,pg_13,1380,"Shounen, Sports, Team Sports",Gallop
16,Hachimitsu to Clover!!,ハチミツとクローバー!!,Honey and Clover!!,https://cdn.myanimelist.net/images/anime/1301/133577.jpg,7.98,691,276585,85444,24,15-04-2005,27-09-2005,tv,finished_airing,pg_13,1419,"Adult Cast, Comedy, Drama, Josei, Love Polygon, Romance, Visual Arts",J.C.Staff
17,Hungry Heart: Wild Striker???,ハングリーハート Wild Striker,,https://cdn.myanimelist.net/images/anime/12/49655.webp,7.54,1850,26066,13897,52,11-09-2002,10-09-2003,tv,finished_airing,pg_13,1400,"Shounen, Sports, Team Sports",Nippon Animation
18,Initial D Fourth Stage!!,頭文字〈イニシャル〉D FOURTH STAGE,,https://cdn.myanimelist.net/images/anime/9/10521.jpg,NaN,450,201742,112836,24,17-04-2004,18-02-2006,tv,finished_airing,pg_13,1620,"Action, Drama, Racing, Seinen",A.C.G.T.
19,Monster,モンスター,Monster???,https://cdn.myanimelist.net/images/anime/10/18793.jpg,8.88,23,1220107,463004,74,07-04-2004,28-09-2005,tv,finished_airing,r+,1440,"Adult Cast, Drama, Mystery, Psychological, Seinen, Suspense",Madhouse
20,Naruto???,ナルト!!,Naruto,https://cdn.myanimelist.net/images/anime/1141/142503.webp,8.01,655,2977312,2051258,220,03-10-2002,08-02-2007,tv,finished_airing,pg_13,1404,"Action, Adventure, Fantasy, Martial Arts, Shounen",Pierrot
21,One Piece???,ONE PIECE,One Piece,https://cdn.myanimelist.net/images/anime/1244/138851.jpg,8.73,51,2510960,NaN,0,20-10-1999,,tv,currently_airing,pg_13,1440,"Action, Adventure, Fantasy, Shounen",Toei Animation
22,Tennis no Oujisama!!,テニスの王子様,The Prince of Tennis???,https://cdn.myanimelist.net/images/anime/6/21624.jpg,7.85,927,191460,86751,178,10-10-2001,23-03-2005,tv,finished_airing,pg_13,1350,"School, Shounen, Sports",Trans Arts
23,Ring ni Kakero 1,リングにかけろ１???,,https://cdn.myanimelist.net/images/anime/1146/124743.jpg,6.36,8000,5410,1797,12,06-10-2004,15-12-2004,tv,finished_airing,pg,1405,"Combat Sports, Shounen, Sports",Toei Animation
24,School Rumble,スクールランブル,School Rumble???,https://cdn.myanimelist.net/images/anime/1465/142014.webp,7.88,,336553,152404,26,05-10-2004,29-03-2005,tv,finished_airing,pg_13,1404,"Comedy, Gag Humor, Love Polygon, Romance, School, Shounen",Studio Comet
abc,Sunabouzu,砂ぼうず???,Desert Punk,https://cdn.myanimelist.net/images/anime/6/75536.webp,7.36,2540,145897,56761,24,06-10-2004,30-03-2005,tv,finished_airing,r,1440,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Seinen",Gonzo
26,Texhnolyze,TEXHNOLYZE???,Texhnolyze???,https://cdn.myanimelist.net/images/anime/1027/131977.jpg,7.76,1132,268530,60338,22,17-04-2003,25-09-2003,tv,finished_airing,r+,1395,"Adult Cast, Avant Garde, Drama, Mystery, Organized Crime, Psychological, Sci-Fi, Suspense",Madhouse
27,Trinity Blood,トリニティ・ブラッド???,Trinity Blood???,https://cdn.myanimelist.net/images/anime/10/24649.jpg,7.28,2977,191912,82137,24,29-04-2005,28-10-2005,tv,finished_airing,r,1440,"Action, Fantasy, Sci-Fi, Vampire",Gonzo
28,Yakitate!! Japan,焼きたて!! ジャぱん,Yakitate!! Japan!!,https://cdn.myanimelist.net/images/anime/3/76432.jpg,7.91,803,101610,42344,69,12-10-2004,14-03-2006,tv,finished_airing,pg_13,1474,"Comedy, Gourmet, Shounen",Sunrise
29,Zipang!!,ジパング???,,https://cdn.myanimelist.net/images/anime/13/75740.webp,7.49,2043,24194,8257,26,08-10-2004,01-04-2005,tv,finished_airing,pg_13,1450,"Action, Adult Cast, Drama, Historical, Military, Sci-Fi, Seinen, Time Travel",Studio Deen
30,Shinseiki Evangelion!!,新世紀エヴァンゲリオン!!,Neon Genesis Evangelion,https://cdn.myanimelist.net/images/anime/1314/108941.jpg,8.36,233,1915014,1144934,NaN,04-10-1995,27-03-1996,tv,finished_airing,pg_13,1441,"Action, Avant Garde, Award Winning, Drama, Mecha, Psychological, Sci-Fi, Suspense","Gainax, Tatsunoko Production"
31,Shinseiki Evangelion Movie: Shi to Shinsei,新世紀エヴァンゲリオン劇場版 シト新生,Neon Genesis Evangelion: Death & Rebirth!!,https://cdn.myanimelist.net/images/anime/1993/113122.webp,7.48,2046,271334,NaN,1,15-03-1997,15-03-1997,movie,finished_airing,r,6295,"Action, Drama, Mecha, Psychological, Sci-Fi, Suspense","Gainax, Production I.G, Tatsunoko Production"
32,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni","新世紀エヴァンゲリオン劇場版 Air / まごころを, 君に!!",Neon Genesis Evangelion: The End of Evangelion???,https://cdn.myanimelist.net/images/anime/1404/98182.webp,8.56,117,NaN,655714,1,19-07-1997,19-07-1997,movie,finished_airing,r+,5211,"Action, Avant Garde, Drama, Mecha, Psychological, Sci-Fi, Suspense","Gainax, Production I.G"
33,Kenpuu Denki Berserk,剣風伝奇ベルセルク,Berserk,https://cdn.myanimelist.net/images/anime/1384/119988.jpg,8.6,97,712829,383060,25,08-10-1997,01-04-1998,tv,finished_airing,r+,1416,"Action, Adventure, Drama, Fantasy, Gore, Horror, Military, Psychological, Seinen",OLM
43,Koukaku Kidoutai,GHOST IN THE SHELL（攻殻機動隊）!!,Ghost in the Shell???,https://cdn.myanimelist.net/images/anime/10/82594.jpg,8.27,323,668773,345724,1,18-11-1995,18-11-1995,movie,finished_airing,r+,4960,"Action, Adult Cast, Award Winning, Detective, Mecha, Mystery, Psychological, Sci-Fi, Seinen, Suspense",Production I.G
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen???,るろうに剣心―明治剣客浪漫譚―追憶編???,Samurai X: Trust and Betrayal,https://cdn.myanimelist.net/images/anime/1656/137618.webp,8.7,60,284661,141300,4,20-02-1999,22-09-1999,ova,finished_airing,r,1747,"Action, Adult Cast, Drama, Historical, Romance, Samurai, Shounen",Studio Deen
45,Rurouni Kenshin: Meiji Kenkaku Romantan!!,るろうに剣心 -明治剣客浪漫譚-???,Rurouni Kenshin,https://cdn.myanimelist.net/images/anime/1346/119505.jpg,8.28,309,511537,243054,NaN,10-01-1996,08-09-1998,tv,finished_airing,pg_13,1500,"Action, Comedy, Historical, Romance, Samurai, Shounen","Gallop, Studio Deen"
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,るろうに剣心 -明治剣客浪漫譚- 維新志士への鎮魂歌,Samurai X: The Motion Picture???,https://cdn.myanimelist.net/images/anime/4/47845.jpg,7.55,1789,54215,28275,NaN,20-12-1997,20-12-1997,movie,finished_airing,r,5448,"Drama, Historical, Samurai, Shounen",Gallop
47,Akira,AKIRA（アキラ）???,Akira!!,https://cdn.myanimelist.net/images/anime/1408/114012.webp,8.16,452,898657,538210,1,16-07-1988,16-07-1988,movie,finished_airing,r+,7468,"Action, Gore, Horror, Military, Sci-Fi, Seinen, Super Power",Tokyo Movie Shinsha
48,.hack//Sign!!,.hack//SIGN,.hack//Sign!!,https://cdn.myanimelist.net/images/anime/1443/94665.webp,6.94,4670,188897,86210,26,04-04-2002,26-09-2002,tv,finished_airing,pg_13,1440,"Adventure, Fantasy, Mystery, Video Game",Bee Train
49,Aa! Megami-sama!???,ああっ女神さまっ,Oh! My Goddess,https://cdn.myanimelist.net/images/anime/11/71215.webp,7.28,2939,56501,27812,5,21-02-1993,17-05-1994,ova,finished_airing,pg_13,1800,"Comedy, Romance, Seinen, Supernatural",AIC
50,Aa! Megami-sama! (TV)???,ああっ女神さまっ!!,Ah! My Goddess???,https://cdn.myanimelist.net/images/anime/1976/99376.webp,7.31,2800,165405,79330,24,07-01-2005,08-07-2005,tv,finished_airing,pg_13,1440,"Comedy, Romance, Seinen, Supernatural",AIC
51,Tenshi Kinryouku,天使禁猟区???,Angel Sanctuary,https://cdn.myanimelist.net/images/anime/1627/146055.webp,6.24,8667,51145,27542,3,25-05-2000,25-08-2000,ova,finished_airing,r+,1785,"Action, Drama, Reincarnation, Romance, Shoujo, Supernatural",HAL Film Maker
52,Kidou Tenshi Angelic Layer!!,機動天使エンジェリックレイヤー!!,Battle Doll Angelic Layer???,https://cdn.myanimelist.net/images/anime/1192/113699.jpg,7.26,3081,NaN,29688,26,01-04-2001,23-09-2001,tv,finished_airing,pg_13,1440,"Award Winning, Comedy, Drama, Sci-Fi, Shounen, Strategy Game",Bones
53,Ai Yori Aoshi,藍より青し,Ai Yori Aoshi!!,https://cdn.myanimelist.net/images/anime/7/10172.webp,7.1,3934,114422,54977,24,11-04-2002,26-09-2002,tv,finished_airing,pg_13,1387,"Comedy, Drama, Harem, Romance, Seinen",J.C.Staff
54,Appleseed (Movie),アップルシード???,,https://cdn.myanimelist.net/images/anime/9/57231.jpg,7.05,4156,76220,42356,1,17-04-2004,17-04-2004,movie,finished_airing,r,6324,"Action, Mecha, Military, Sci-Fi",Digital Frontier
55,Arc the Lad???,アークザラッド???,,https://cdn.myanimelist.net/images/anime/3/49041.webp,6.49,7191,17480,6438,26,05-04-1999,11-10-1999,tv,finished_airing,r,1320,"Action, Adventure, Fantasy, Horror, Sci-Fi",Bee Train
56,Avenger,アヴェンジャー!!,,https://cdn.myanimelist.net/images/anime/13/19921.webp,5.85,10738,18683,7300,13,02-10-2003,25-12-2003,tv,finished_airing,r,1415,"Adventure, Fantasy, Sci-Fi",Bee Train
57,Beck,ベック,Beck: Mongolian Chop Squad,https://cdn.myanimelist.net/images/anime/11/11636.jpg,8.29,300,NaN,145793,26,07-10-2004,31-03-2005,tv,finished_airing,r,1500,"Drama, Music, Shounen",Madhouse
58,Blue Gender???,BLUE GENDER,Blue Gender,https://cdn.myanimelist.net/images/anime/1/2023.jpg,7.01,4371,85458,31524,26,08-10-1999,31-03-2000,tv,finished_airing,r+,1380,"Action, Adventure, Drama, Gore, Horror, Mecha, Military, Sci-Fi, Space, Survival",AIC
59,Chobits???,ちょびっツ!!,Chobits,https://cdn.myanimelist.net/images/anime/4/24648.webp,7.39,2452,498956,260078,26,03-04-2002,25-09-2002,tv,finished_airing,pg_13,1440,"Comedy, Drama, Ecchi, Romance, Sci-Fi, Seinen",Madhouse
60,Chrno Crusade???,クロノクルセイド,Chrono Crusade!!,https://cdn.myanimelist.net/images/anime/13/14141.webp,7.6,1609,232161,105990,24,25-11-2003,10-06-2004,tv,finished_airing,r,1385,"Action, Historical, Mythology, Romance, Shounen, Supernatural",Gonzo
61,D.N.Angel,Ｄ・Ｎ・ＡＮＧＥＬ,D.N.Angel,https://cdn.myanimelist.net/images/anime/1126/98904.webp,NaN,3614,188541,100434,26,03-04-2003,25-09-2003,tv,finished_airing,pg_13,1380,"Action, Comedy, Fantasy, Romance, School, Shoujo",Xebec
62,D.C.: Da Capo,D.C.～ダ・カーポ～,D.C.~Da Capo~!!,https://cdn.myanimelist.net/images/anime/4/73936.webp,6.71,5865,77940,31369,26,05-07-2003,27-12-2003,tv,finished_airing,pg_13,1400,"Drama, Harem, Romance","feel., Zexcs"
63,DearS,ディアーズ???,DearS???,https://cdn.myanimelist.net/images/anime/1207/98872.webp,6.54,,153018,81279,12,11-07-2004,26-09-2004,tv,finished_airing,r+,1420,"Comedy, Ecchi, Harem, Romance, Sci-Fi, Shounen",Daume
64,Rozen Maiden!!,ローゼンメイデン,Rozen Maiden,https://cdn.myanimelist.net/images/anime/1424/108431.webp,7.4,NaN,212482,99855,12,08-10-2004,24-12-2004,tv,finished_airing,pg_13,1440,"Action, Drama, Seinen, Supernatural",Nomad
65,Rozen Maiden: Träumend,ローゼンメイデン トロイメント???,Rozen Maiden: Träumend!!,https://cdn.myanimelist.net/images/anime/4/10242.jpg,7.61,1555,108496,60471,12,21-10-2005,27-01-2006,tv,finished_airing,pg_13,1460,"Action, Drama, Seinen, Supernatural",Nomad
66,Azumanga Daiou The Animation,あずまんが大王 THE ANIMATION???,Azumanga Daioh: The Animation,https://cdn.myanimelist.net/images/anime/1066/117358.jpg,8.05,611,394584,171201,26,09-04-2002,01-10-2002,tv,finished_airing,pg_13,1451,"CGDCT, Comedy, Gag Humor, School",J.C.Staff
67,Basilisk: Kouga Ninpou Chou!!,バジリスク 甲賀忍法帖,Basilisk,https://cdn.myanimelist.net/images/anime/1103/133549.webp,7.53,1854,NaN,80195,24,13-04-2005,21-09-2005,tv,finished_airing,r,1446,"Action, Adult Cast, Drama, Gore, Historical, Martial Arts, Romance, Samurai, Seinen",Gonzo
68,Black Cat,ブラックキャット,Black Cat???,https://cdn.myanimelist.net/images/anime/1183/133280.jpg,7.31,2805,277223,131669,23,07-10-2005,31-03-2006,tv,finished_airing,pg_13,1440,"Action, Adventure, Sci-Fi, Shounen, Super Power",Gonzo
69,Cluster Edge,CLUSTER EDGE（クラスターエッジ）,,https://cdn.myanimelist.net/images/anime/1980/103243.jpg,6.31,8284,11566,3396,25,05-10-2005,29-03-2006,tv,finished_airing,pg_13,1440,"Action, Fantasy, Military, Sci-Fi",Sunrise
71,Full Metal Panic!,フルメタル・パニック！,Full Metal Panic!!!,https://cdn.myanimelist.net/images/anime/2/75259.webp,NaN,1623,513428,NaN,24,08-01-2002,18-06-2002,tv,finished_airing,r,1440,"Action, Comedy, Mecha, Military, Sci-Fi",Gonzo
72,Full Metal Panic? Fumoffu,フルメタル・パニック? ふもっふ???,Full Metal Panic? Fumoffu,https://cdn.myanimelist.net/images/anime/4/75260.webp,8.02,646,304155,178673,12,26-08-2003,18-11-2003,tv,finished_airing,pg_13,1440,"Action, Comedy, Gag Humor, School",Kyoto Animation
73,Full Metal Panic! The Second Raid,フルメタル パニック！The Second Raid,Full Metal Panic! The Second Raid,https://cdn.myanimelist.net/images/anime/11/75261.jpg,7.91,809,267322,151289,13,14-07-2005,20-10-2005,tv,finished_airing,r,1440,"Action, Mecha, Military",Kyoto Animation
74,Gakuen Alice,学園アリス,Gakuen Alice,https://cdn.myanimelist.net/images/anime/4/18118.jpg,7.64,1473,NaN,53074,26,30-10-2004,14-05-2005,tv,finished_airing,g,1500,"Comedy, School, Shoujo, Super Power",Group TAC
75,Soukyuu no Fafner: Dead Aggressor???,蒼穹のファフナーDead Aggressor,Fafner???,https://cdn.myanimelist.net/images/anime/3/50365.webp,7.25,3146,50888,15809,25,05-07-2004,27-12-2004,tv,finished_airing,pg_13,1470,"Action, Drama, Mecha, Military, Sci-Fi",Xebec
76,Mahou Shoujo Lyrical Nanoha???,魔法少女リリカルなのは!!,Magical Girl Lyrical Nanoha!!,https://cdn.myanimelist.net/images/anime/1052/136283.webp,NaN,2357,107654,43385,13,03-10-2004,26-12-2004,tv,finished_airing,pg_13,1539,"Action, Comedy, Drama, Mahou Shoujo",Seven Arcs
77,Mahou Shoujo Lyrical Nanoha A's???,魔法少女リリカルなのは エース???,Magical Girl Lyrical Nanoha A's!!,https://cdn.myanimelist.net/images/anime/4/6767.jpg,7.95,737,67585,34886,13,02-10-2005,25-12-2005,tv,finished_airing,pg_13,1539,"Action, Comedy, Drama, Mahou Shoujo",Seven Arcs
79,Shuffle!,SHUFFLE! (シャッフル!),Shuffle!!!,https://cdn.myanimelist.net/images/anime/1290/133860.webp,7.01,4386,285902,137789,24,08-07-2005,06-01-2006,tv,finished_airing,r+,1450,"Comedy, Ecchi, Fantasy, Harem, Romance, School, Urban Fantasy",asread.
80,Kidou Senshi Gundam???,機動戦士ガンダム,Mobile Suit Gundam???,https://cdn.myanimelist.net/images/anime/5/88524.jpg,7.76,NaN,141547,63905,NaN,07-04-1979,26-01-1980,tv,finished_airing,pg_13,1485,"Action, Drama, Mecha, Military, Sci-Fi, Space",Sunrise
81,Kidou Senshi Gundam: Dai 08 MS Shoutai!!,,Mobile Suit Gundam: The 08th MS Team,https://cdn.myanimelist.net/images/anime/9/75618.jpg,8,676,89231,49057,NaN,25-01-1996,25-07-1999,ova,finished_airing,pg_13,1494,"Action, Adventure, Drama, Mecha, Military, Romance, Sci-Fi",Sunrise
82,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,機動戦士ガンダム 0080 ポケットの中の戦争???,Mobile Suit Gundam 0080: War in the Pocket,https://cdn.myanimelist.net/images/anime/1/82.jpg,7.99,681,65489,36157,6,25-03-1989,25-08-1989,ova,finished_airing,pg_13,1640,"Action, Drama, Mecha, Military, Sci-Fi, Space",Sunrise
abc,Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,機動戦士ガンダム 第08MS小隊 ミラーズ・リポート,Mobile Suit Gundam: The 08th MS Team - Miller's Report???,https://cdn.myanimelist.net/images/anime/1132/100198.webp,6.75,5656,14383,7097,1,01-08-1998,01-08-1998,movie,finished_airing,pg_13,3120,"Drama, Mecha, Military, Romance, Sci-Fi",Sunrise
84,Kidou Senshi Gundam 0083: Stardust Memory,機動戦士ガンダム0083 STARDUST MEMORY!!,Mobile Suit Gundam 0083: Stardust Memory,https://cdn.myanimelist.net/images/anime/13/26654.jpg,7.22,3300,48518,27283,13,23-05-1991,24-09-1992,ova,finished_airing,pg_13,1681,"Action, Adventure, Drama, Mecha, Military, Romance, Sci-Fi, Space",Sunrise
85,Kidou Senshi Zeta Gundam!!,機動戦士Ζガンダム,Mobile Suit Zeta Gundam!!,https://cdn.myanimelist.net/images/anime/6/11153.webp,7.89,849,80961,41492,50,02-03-1985,22-02-1986,tv,finished_airing,pg_13,1461,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",Sunrise
86,Kidou Senshi Gundam ZZ,機動戦士ガンダムZZ???,Mobile Suit Gundam ZZ!!,https://cdn.myanimelist.net/images/anime/1848/91078.webp,6.66,6166,NaN,23650,47,01-03-1986,31-01-1987,tv,finished_airing,pg_13,1460,"Action, Comedy, Drama, Mecha, Military, Sci-Fi, Space",Sunrise
87,Kidou Senshi Gundam: Gyakushuu no Char!!,機動戦士ガンダム 逆襲のシャア,Mobile Suit Gundam: Char's Counterattack???,https://cdn.myanimelist.net/images/anime/1523/92371.jpg,7.68,1355,54403,32301,1,12-03-1988,12-03-1988,movie,finished_airing,pg_13,7193,"Action, Drama, Mecha, Military, Sci-Fi, Space",Sunrise
88,Kidou Senshi Gundam F91???,機動戦士ガンダムＦ91,Mobile Suit Gundam F91???,https://cdn.myanimelist.net/images/anime/1637/95288.jpg,6.59,6593,35273,19147,1,16-03-1991,16-03-1991,movie,finished_airing,pg_13,7217,"Action, Drama, Mecha, Military, Sci-Fi, Space",Sunrise
89,Kidou Senshi Victory Gundam,機動戦士Vガンダム,Mobile Suit Victory Gundam,https://cdn.myanimelist.net/images/anime/1913/102693.jpg,6.71,5878,30211,12131,51,02-04-1993,25-03-1994,tv,finished_airing,pg_13,1463,"Action, Drama, Mecha, Military, Sci-Fi, Space",Sunrise
90,Shin Kidou Senki Gundam Wing!!,新機動戦記ガンダムW,Mobile Suit Gundam Wing,https://cdn.myanimelist.net/images/anime/1884/114414.webp,7.67,1371,165630,92257,49,07-04-1995,29-03-1996,tv,finished_airing,pg_13,1440,"Action, Drama, Mecha, Military, Sci-Fi, Space",Sunrise
91,Shin Kidou Senki Gundam Wing: Endless Waltz,新機動戦記ガンダムW エンドレス・ワルツ,Mobile Suit Gundam Wing: Endless Waltz!!,https://cdn.myanimelist.net/images/anime/1061/97444.jpg,7.73,1215,50157,28536,3,25-01-1997,25-07-1997,ova,finished_airing,pg_13,1800,"Action, Award Winning, Drama, Mecha, Military, Sci-Fi, Space",Sunrise
92,Kidou Shinseiki Gundam X???,機動新世紀ガンダムX!!,After War Gundam X,https://cdn.myanimelist.net/images/anime/10/16054.webp,7.33,,38575,17039,39,05-04-1996,28-12-1996,tv,finished_airing,pg_13,1440,"Action, Adventure, Drama, Mecha, Sci-Fi, Space",Sunrise
93,Kidou Senshi Gundam SEED,機動戦士ガンダムSEED???,Mobile Suit Gundam SEED,https://cdn.myanimelist.net/images/anime/1792/91081.jpg,7.74,1196,178572,99258,50,05-10-2002,27-09-2003,tv,finished_airing,r,1440,"Action, Award Winning, Drama, Mecha, Military, Romance, Sci-Fi, Space",Sunrise
94,Kidou Senshi Gundam SEED Destiny!!,機動戦士ガンダムSEED DESTINY,Mobile Suit Gundam SEED Destiny,https://cdn.myanimelist.net/images/anime/1700/91080.webp,7.17,3566,113228,67795,50,09-10-2004,01-10-2005,tv,finished_airing,r,1440,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",Sunrise
95,Turn A Gundam,∀ガンダム,∀ Gundam,https://cdn.myanimelist.net/images/anime/4/78330.jpg,7.78,1102,52180,NaN,50,09-04-1999,14-04-2000,tv,finished_airing,pg_13,1445,"Action, Adventure, Award Winning, Drama, Mecha, Military, Romance, Sci-Fi, Space",Sunrise
96,Kidou Butouden G Gundam???,機動武闘伝Gガンダム!!,Mobile Fighter G Gundam!!,https://cdn.myanimelist.net/images/anime/1187/133654.jpg,7.58,1678,72698,38987,49,01-04-1994,31-03-1995,tv,finished_airing,pg_13,1440,"Action, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space",Sunrise
97,Last Exile!!,LAST EXILE（ラストエグザイル）???,Last Exile!!,https://cdn.myanimelist.net/images/anime/7/10888.webp,7.78,1093,180804,72735,26,08-04-2003,30-09-2003,tv,finished_airing,pg_13,1440,"Action, Adventure, Sci-Fi",Gonzo
98,Mai-HiME!!,,My-Hime,https://cdn.myanimelist.net/images/anime/13/7226.webp,7.4,2374,119005,52890,26,01-10-2004,01-04-2005,tv,finished_airing,pg_13,1435,"Action, Fantasy, Girls Love, Mahou Shoujo, School",Sunrise
99,Mai-Otome!!,舞-乙HiME???,My-Otome,https://cdn.myanimelist.net/images/anime/2/46897.webp,7.27,3010,53047,26008,26,07-10-2005,31-03-2006,tv,finished_airing,pg_13,1435,"Comedy, Drama, Fantasy",Sunrise
100,Shin Shirayuki-hime Densetsu Prétear!!,新白雪姫伝説プリーティア???,Prétear: The New Legend of Snow White,https://cdn.myanimelist.net/images/anime/9/11709.webp,7.15,3636,66735,29783,13,04-04-2001,27-06-2001,tv,finished_airing,pg_13,1380,"Drama, Mahou Shoujo, Reverse Harem, Romance, Shoujo",HAL Film Maker
101,Air???,AIR!!,Air!!,https://cdn.myanimelist.net/images/anime/1825/146531.webp,7.27,3021,305421,NaN,12,07-01-2005,25-03-2005,tv,finished_airing,pg_13,1440,"Drama, Romance, Supernatural",Kyoto Animation
102,Aishiteruze Baby★★,愛してるぜ ベイベ★★!!,,https://cdn.myanimelist.net/images/anime/2/69665.webp,7.43,2252,105606,54694,26,03-04-2004,09-10-2004,tv,finished_airing,pg_13,1500,"Childcare, Comedy, Drama, Romance, Shoujo",TMS Entertainment
103,Akazukin Chacha!!,赤ずきんチャチャ,Red Riding Hood Chacha,https://cdn.myanimelist.net/images/anime/1098/108972.jpg,7.41,2328,17162,6134,74,07-01-1994,30-06-1995,tv,finished_airing,g,1440,"Adventure, Comedy, Fantasy, Mahou Shoujo, Romance, Shoujo",Gallop
104,Ayashi no Ceres,妖しのセレス,"Ceres, Celestial Legend",https://cdn.myanimelist.net/images/anime/1928/106202.jpg,7.17,3531,64565,28189,24,20-04-2000,28-09-2000,tv,finished_airing,r,1280,"Adventure, Drama, Horror, Psychological, Reincarnation, Romance, Shoujo, Supernatural",Pierrot
105,Boys Be...!!,ボーイズ・ビー???,Boys Be...!!,https://cdn.myanimelist.net/images/anime/1/2223.jpg,6.38,7854,24768,9855,13,11-04-2000,04-07-2000,tv,finished_airing,pg_13,1380,"Comedy, Romance, School, Shounen",HAL Film Maker
106,Hana yori Dango,花より男子,Hana Yori Dango,https://cdn.myanimelist.net/images/anime/2/42871.webp,7.57,1718,64845,26358,51,08-09-1996,31-08-1997,tv,finished_airing,pg_13,1500,"Drama, Love Polygon, Romance, School, Shoujo",Toei Animation
107,Ou Dorobou Jing,王ドロボウ JING???,Jing: King of Bandits,https://cdn.myanimelist.net/images/anime/1961/92115.jpg,7.17,3580,39250,NaN,13,15-05-2002,14-08-2002,tv,finished_airing,pg_13,1440,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",Studio Deen
abc,Ou Dorobou Jing in Seventh Heaven!!,王ドロボウ JING in Seventh Heaven???,Jing: King of Bandits - Seventh Heaven???,https://cdn.myanimelist.net/images/anime/1325/94741.webp,7.23,3252,13423,NaN,NaN,21-01-2004,28-04-2004,ova,finished_airing,pg_13,1688,"Adventure, Comedy, Fantasy, Psychological, Shounen",Studio Deen
109,Bakuretsu Tenshi???,爆裂天使,Burst Angel!!,https://cdn.myanimelist.net/images/anime/10/22647.jpg,6.77,5528,NaN,32037,24,07-04-2004,15-09-2004,tv,finished_airing,pg_13,1380,"Action, Adventure, Mecha, Sci-Fi",Gonzo
110,Chuuka Ichiban!???,中華一番???,,https://cdn.myanimelist.net/images/anime/6/75283.webp,7.6,NaN,NaN,8623,52,27-04-1997,13-09-1998,tv,finished_airing,pg_13,1380,"Action, Comedy, Drama, Gourmet, Shounen",Nippon Animation
111,Corrector Yui???,コレクター・ユイ!!,Corrector Yui!!,https://cdn.myanimelist.net/images/anime/1696/105659.webp,6.86,5064,18273,7637,52,09-04-1999,20-10-2000,tv,finished_airing,g,1500,"Adventure, Comedy, Sci-Fi",Nippon Animation
112,Chou Henshin Cosprayers,超変身コス∞プレイヤー!!,The Cosmopolitan Prayers,https://cdn.myanimelist.net/images/anime/5/75236.jpg,4.83,13490,9493,3629,8,13-01-2004,02-03-2004,tv,finished_airing,pg_13,1061,"Action, Adventure, Comedy, Ecchi, Fantasy, Sci-Fi, Super Power","Imagin, Studio Live"
113,Uchuu no Stellvia,宇宙のステルヴィア,Stellvia,https://cdn.myanimelist.net/images/anime/1587/134660.jpg,7.32,,26164,10114,26,03-04-2003,25-09-2003,tv,finished_airing,pg_13,1414,"Action, Mecha, Romance, Sci-Fi, Space",Xebec
