id,title,titleJa,titleEn,image,mean,rank,num_list_users,num_scoring_users,num_episodes,start_date,end_date,media_type,status,rating,average_episode_duration,genres,studios
37858,Free! Movie 1: Timeless Medley - Kizuna - Character Butai Aisatsu,,,https://cdn.myanimelist.net/images/anime/1970/92777.webp,6.85,5149,7581,1949,4,22-04-2017,22-04-2017,movie,finished_airing,pg_13,240,Comedy,Kyoto Animation
37859,Free! Movie 2: Timeless Medley - Yakusoku: Character Butai Aisatsu,劇場版 Free!-Timeless Medley- 約束 キャラクター舞台挨拶!!,,https://cdn.myanimelist.net/images/anime/1961/92778.webp,6.78,5468,7243,1817,4,01-07-2017,01-07-2017,movie,finished_airing,pg_13,273,Comedy,Kyoto Animation
37860,Free! Take Your Marks: Character Butai Aisatsu,特別版 Free!-Take Your Marks- キャラクター舞台挨拶,,https://cdn.myanimelist.net/images/anime/1131/92779.webp,6.88,4994,7468,1944,4,28-10-2017,28-10-2017,movie,finished_airing,pg_13,327,Comedy,Kyoto Animation
37863,Diamond Fusion???,アイドリッシュセブン『DIAMOND FUSION/TRIGGER』???,,https://cdn.myanimelist.net/images/anime/1644/92803.jpg,NaN,,2936,1375,1,30-04-2018,30-04-2018,music,finished_airing,g,221,"Idols (Male), Music",Kamikaze Douga
37864,Yinhun x KFC???,银魂 X 肯德基,Gintama x KFC???,https://cdn.myanimelist.net/images/anime/1868/126448.jpg,6.89,,8006,3656,1,09-05-2018,09-05-2018,cm,finished_airing,g,133,"Comedy, Gourmet",Bandai Namco Pictures
37865,Pokemon: Aki no Special!!,ポケットモンスター・秋のスペシャル,,https://cdn.myanimelist.net/images/anime/1287/123875.jpg,5.87,10655,2559,927,1,07-10-1997,07-10-1997,tv_special,finished_airing,pg,2880,"Action, Adventure, Fantasy, Kids",OLM
37866,Uchuu Senkan Tiramisù Specials???,宇宙戦艦ティラミス!!,Space Battleship Tiramisu Specials???,https://cdn.myanimelist.net/images/anime/1770/92820.jpg,6.32,8185,3904,1868,NaN,27-06-2018,25-07-2018,special,finished_airing,pg_13,420,"Comedy, Mecha, Parody, Sci-Fi, Space",Gonzo
37867,Dare no Tame ni Sakura wa Saku!!,誰のために桜は咲く???,Darenotamenisakurawasaku,https://cdn.myanimelist.net/images/anime/1048/92828.jpg,5.32,,322,161,1,11-05-2018,11-05-2018,music,finished_airing,g,240,Music,
37869,BanG Dream! 2nd Season,BanG Dream!（バンドリ！）第2期,BanG Dream! 2nd Season,https://cdn.myanimelist.net/images/anime/1967/108632.webp,7.57,1712,48499,24341,13,03-01-2019,28-03-2019,tv,finished_airing,pg_13,1440,"CGDCT, Music, School",SANZIGEN
37870,BanG Dream! 3rd Season,BanG Dream!（バンドリ！）第3期,,https://cdn.myanimelist.net/images/anime/1985/104767.jpg,NaN,671,40398,18720,13,23-01-2020,23-04-2020,tv,finished_airing,pg_13,1430,"CGDCT, Music, School",SANZIGEN
